ts,bar_tick,pnl,debt_pool,cap_used_pct,fast_alloc_size,slow_alloc_size,reservations,cycle_cleared,tier_summary
2025-11-18T03:58:54.376739+00:00,1,0.0,0.0,0.0,0,0,0,0,
2025-11-18T04:01:53.093891+00:00,1,0.0,0.0,0.0,0,0,0,0,
2025-11-18T04:16:24.506769+00:00,1,0.0,0.0,0.0,0,0,0,0,
2025-11-18T04:19:25.178912+00:00,1,0.0,0.0,0.0,0,0,0,0,
2025-11-18T04:31:22.113955+00:00,1,0.0,0.0,0.0,0,0,0,0,
2025-11-18T05:15:22.228686+00:00,1,0.0,0.0,0.0,0,0,0,0,
2025-11-18T05:37:36.886500+00:00,2,0.0,0.0,0.0,0,0,0,0,
2025-11-18T07:51:15.043687+00:00,1,0.0,0.0,0.0,0,0,0,0,
2025-11-18T08:18:31.993060+00:00,1,0.0,0.0,0.0,0,0,0,0,
2025-11-18T08:42:25.776860+00:00,1,0.0,0.0,0.0,0,0,0,0,
2025-11-18T08:49:14.060044+00:00,1,0.0,0.0,0.0,0,0,0,0,
2025-11-18T09:02:54.296383+00:00,3,0.0,0.0,0.0,0,0,0,0,
2025-11-18T09:03:58.675197+00:00,1,0.0,0.0,0.0,0,0,0,0,
2025-11-18T09:05:33.612711+00:00,1,0.0,0.0,0.0,0,0,0,0,
2025-11-18T09:07:04.941150+00:00,1,0.0,0.0,0.0,0,0,0,0,
2025-11-18T09:08:14.606188+00:00,1,0.0,0.0,0.0,0,0,0,0,
2025-11-18T09:13:40.632213+00:00,1,0.0,0.0,0.0,0,0,0,0,
2025-11-18T09:15:37.906561+00:00,1,0.0,0.0,0.0,0,0,0,0,
2025-11-18T09:33:39.933944+00:00,1,0.0,0.0,0.0,0,0,0,0,
2025-11-18T09:51:10.208701+00:00,1,0.0,0.0,0.0,0,0,0,0,
2025-11-18T10:00:56.578245+00:00,1,0.0,0.0,0.0,0,0,0,0,
2025-11-18T10:01:31.703403+00:00,1,0.0,0.0,0.0,0,0,0,0,
2025-11-18T12:16:46.454364+00:00,1,0.0,0.0,0.0,0,0,0,0,
2025-11-18T12:18:30.149103+00:00,1,0.0,0.0,0.0,0,0,0,0,
2025-11-18T12:24:27.253834+00:00,1,0.0,0.0,0.0,0,0,0,0,
2025-11-18T12:34:02.720651+00:00,1,0.0,0.0,0.0,0,0,0,0,
2025-11-18T12:42:37.420931+00:00,1,0.0,0.0,0.0,0,0,0,0,
2025-11-18T12:52:38.095187+00:00,1,0.0,0.0,0.0,0,0,0,0,
2025-11-18T13:00:38.445855+00:00,1,0.0,0.0,0.0,0,0,0,0,
2025-11-18T13:01:41.456572+00:00,1,0.0,0.0,0.0,0,0,0,0,
2025-11-18T13:07:05.963792+00:00,1,0.0,0.0,0.0,0,0,0,0,
2025-11-18T13:07:51.966962+00:00,4,0.0,0.0,0.0,0,0,0,0,
2025-11-18T13:21:18.006617+00:00,1,0.0,0.0,0.0,0,0,0,0,
2025-11-18T13:22:56.105712+00:00,1,0.0,0.0,0.0,0,0,0,0,
2025-11-18T13:43:16.632958+00:00,1,0.0,0.0,0.0,0,0,0,0,
2025-11-18T13:55:11.627491+00:00,1,0.0,0.0,0.0,0,0,0,0,
2025-11-18T15:07:31.293317+00:00,1,0.0,0.0,0.0,0,0,0,0,
2025-11-18T15:08:19.931835+00:00,1,0.0,0.0,0.0,0,0,0,0,
2025-11-18T15:56:11.954135+00:00,5,0.0,0.0,0.0,0,0,0,0,
2025-11-18T15:56:17.088778+00:00,6,0.0,0.0,0.0,0,0,0,0,
2025-11-18T16:00:40.047355+00:00,1,0.0,0.0,0.0,0,0,0,0,
2025-11-19T05:45:57.153016+00:00,1,0.0,0.0,0.0,0,0,0,0,
2025-11-19T05:46:33.828947+00:00,1,0.0,0.0,0.0,0,0,0,0,
2025-11-19T05:47:58.787547+00:00,1,0.0,0.0,0.0,0,0,0,0,
2025-11-19T06:49:27.670821+00:00,1,0.0,0.0,0.0,0,0,0,0,
2025-11-19T06:50:36.772464+00:00,1,0.0,0.0,0.0,0,0,0,0,
2025-11-19T06:51:39.569299+00:00,1,0.0,0.0,0.0,0,0,0,0,
2025-11-19T10:44:05.578423+00:00,1,0.0,0.0,0.0,0,0,0,0,
2025-11-19T13:07:16.368415+00:00,1,0.0,0.0,0.0,0,0,0,0,
2025-11-19T13:49:04.478326+00:00,1,0.0,0.0,0.0,0,0,0,0,
2025-11-19T13:53:39.751662+00:00,1,0.0,0.0,0.0,0,0,0,0,
2025-11-19T13:58:02.290490+00:00,1,0.0,0.0,0.0,0,0,0,0,
2025-11-19T18:47:38.043465+00:00,1,0.0,0.0,0.0,0,0,0,0,
2025-11-20T02:31:56.045219+00:00,1,0.0,0.0,0.0,0,0,0,0,
2025-11-20T02:49:28.857587+00:00,1,0.0,0.0,0.0,0,0,0,0,
2025-11-20T03:12:21.680681+00:00,1,0.0,0.0,0.0,0,0,0,0,
2025-11-20T06:04:14.820679+00:00,1,0.0,0.0,0.0,0,0,0,0,
2025-11-20T06:09:48.996816+00:00,1,0.0,0.0,0.0,0,0,0,0,
2025-11-20T06:10:50.808295+00:00,1,0.0,0.0,0.0,0,0,0,0,
2025-11-20T06:13:47.479642+00:00,1,0.0,0.0,0.0,0,0,0,0,
2025-11-20T06:14:26.799433+00:00,1,0.0,0.0,0.0,0,0,0,0,
2025-11-20T06:17:00.501129+00:00,1,0.0,0.0,0.0,0,0,0,0,
2025-11-20T06:17:51.438232+00:00,1,0.0,0.0,0.0,0,0,0,0,
2025-11-20T06:19:12.383434+00:00,1,0.0,0.0,0.0,0,0,0,0,
2025-11-20T06:35:25.070355+00:00,1,0.0,0.0,0.0,0,0,0,0,
2025-11-20T06:36:16.815323+00:00,1,0.0,0.0,0.0,0,0,0,0,
2025-11-20T06:37:53.286889+00:00,1,0.0,0.0,0.0,0,0,0,0,
2025-11-20T06:38:02.560940+00:00,1,0.0,0.0,0.0,0,0,0,0,
2025-11-20T06:38:25.919620+00:00,1,0.0,0.0,0.0,0,0,0,0,
2025-11-20T06:38:42.792304+00:00,1,0.0,0.0,0.0,0,0,0,0,
2025-11-20T06:43:36.117182+00:00,1,0.0,0.0,0.0,0,0,0,0,
2025-11-20T06:46:06.687118+00:00,1,0.0,0.0,0.0,0,0,0,0,
2025-11-20T06:46:22.496261+00:00,1,0.0,0.0,0.0,0,0,0,0,
2025-11-20T06:49:46.765775+00:00,1,0.0,0.0,0.0,0,0,0,0,
2025-11-20T07:00:31.988598+00:00,1,0.0,0.0,0.0,0,0,0,0,
2025-11-20T07:07:52.895907+00:00,1,0.0,0.0,0.0,0,0,0,0,
2025-11-20T07:17:33.409042+00:00,1,0.0,0.0,0.0,0,0,0,0,
2025-11-20T07:24:36.213090+00:00,1,0.0,0.0,0.0,0,0,0,0,
2025-11-20T07:31:46.813690+00:00,1,0.0,0.0,0.0,0,0,0,0,
2025-11-20T07:32:24.590787+00:00,1,0.0,0.0,0.0,0,0,0,0,
2025-11-20T07:33:01.381539+00:00,1,0.0,0.0,0.0,0,0,0,0,
2025-11-20T07:33:52.144032+00:00,1,0.0,0.0,0.0,0,0,0,0,
2025-11-20T07:41:38.654832+00:00,1,0.0,0.0,0.0,0,0,0,0,
2025-11-20T07:42:42.063800+00:00,1,0.0,0.0,0.0,0,0,0,0,
2025-11-20T07:43:19.796778+00:00,1,0.0,0.0,0.0,0,0,0,0,
2025-11-20T07:43:37.841953+00:00,1,0.0,0.0,0.0,0,0,0,0,
2025-11-20T07:43:52.840505+00:00,1,0.0,0.0,0.0,0,0,0,0,
2025-11-20T07:44:28.477612+00:00,1,0.0,0.0,0.0,0,0,0,0,
2025-11-20T07:45:54.567279+00:00,1,0.0,0.0,0.0,0,0,0,0,
2025-11-20T07:46:24.437549+00:00,1,0.0,0.0,0.0,0,0,0,0,
2025-11-20T07:47:22.742742+00:00,1,0.0,0.0,0.0,0,0,0,0,
2025-11-20T07:48:02.204072+00:00,1,0.0,0.0,0.0,0,0,0,0,
2025-11-20T07:56:25.456055+00:00,1,0.0,0.0,0.0,0,0,0,0,
2025-11-20T07:56:59.567759+00:00,1,0.0,0.0,0.0,0,0,0,0,
2025-11-20T07:57:34.343468+00:00,1,0.0,0.0,0.0,0,0,0,0,
2025-11-20T07:58:29.472550+00:00,1,0.0,0.0,0.0,0,0,0,0,
2025-11-20T08:07:16.015211+00:00,1,0.0,0.0,0.0,0,0,0,0,
